Route stop,Business,Hero image URL,Hero image source,HTTP status,Final URL,Content type,Fetched bytes,Fetch milliseconds,Error
23,J&J Hardware Store,https://images.unsplash.com/photo-1441986300917-64674bd600d8?auto=format&fit=crop&w=1800&q=80,Category-relevant hardware image from Unsplash,200,https://images.unsplash.com/photo-1441986300917-64674bd600d8?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
24,Taqueria La Iguana Azul,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
25,Ray Oliver Caoili D.D.S.,https://images.unsplash.com/photo-1629909613654-28e377c37b09?auto=format&fit=crop&w=1800&q=80,Category-relevant dentist image from Unsplash,200,https://images.unsplash.com/photo-1629909613654-28e377c37b09?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,40,
26,Western Donuts,https://images.unsplash.com/photo-1550547660-d9450f859349?auto=format&fit=crop&w=1800&q=80,Category-relevant fast_food image from Unsplash,200,https://images.unsplash.com/photo-1550547660-d9450f859349?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,42,
27,Tikal,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
28,Taqueria Mi Sazon,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
29,Hayden Auto Care,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=1800&q=80,Category-relevant car_repair image from Unsplash,200,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
30,Excelsior Auto Care,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=1800&q=80,Category-relevant car_repair image from Unsplash,200,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
31,BeeFadezz,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=1800&q=80,Category-relevant hairdresser image from Unsplash,200,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
32,Da Pan,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=1800&q=80,Category-relevant fast_food image from Unsplash,200,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,43,
33,Hall of Flame,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,41,
34,Emmy's Restaurant,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
35,Mahogany House of Styles,https://images.unsplash.com/photo-1522337660859-02fbefca4702?auto=format&fit=crop&w=1800&q=80,Category-relevant beauty image from Unsplash,200,https://images.unsplash.com/photo-1522337660859-02fbefca4702?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,45,
36,Java on Ocean Cafe,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,48,
37,Jolie Elegance Spa,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=1800&q=80,Category-relevant beauty image from Unsplash,200,https://images.unsplash.com/photo-1521590832167-7bcbfaa6381f?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,51,
38,Sakesan Sushi & Robata,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
39,Go Go 7,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
40,TS cafe,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,66,
41,Unique Automotive,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=1800&q=80,Category-relevant car_repair image from Unsplash,200,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
42,Los Planes de Renderos,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
43,Pacitas Salvadorean Bakery,https://images.unsplash.com/photo-1608198093002-ad4e005484ec?auto=format&fit=crop&w=1800&q=80,Category-relevant bakery image from Unsplash,200,https://images.unsplash.com/photo-1608198093002-ad4e005484ec?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,43,
44,Tanjessy Gifts Jewelry & Accessories,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?auto=format&fit=crop&w=1800&q=80,Category-relevant jewelry image from Unsplash,200,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,45,
45,Oscar Laundromat,https://images.unsplash.com/photo-1545173168-9f1947eebb7f?auto=format&fit=crop&w=1800&q=80,Category-relevant laundry image from Unsplash,200,https://images.unsplash.com/photo-1545173168-9f1947eebb7f?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
46,Double Shot Coffee,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,48,
47,Tasty Coffee,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,66,
48,Cafe Bello,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?auto=format&fit=crop&w=1800&q=80,Category-relevant cafe image from Unsplash,200,https://images.unsplash.com/photo-1501339847302-ac426a4a7cbb?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,48,
49,Higher Grounds Coffee House and Restaurant,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
50,Ming Hui Dim Sum,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,41,
51,Ming Hing Restaurant,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
52,2546 Cafe,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,41,
53,Taqueria Gonzalez,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1504674900247-0877df9cc836?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,41,
54,Golden City,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=1800&q=80,Category-relevant fast_food image from Unsplash,200,https://images.unsplash.com/photo-1544025162-d76694265947?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,43,
55,Yan Li,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,Category-relevant restaurant image from Unsplash,200,https://images.unsplash.com/photo-1552566626-52f8b828add9?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,44,
56,Generation Nails,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=1800&q=80,Category-relevant beauty image from Unsplash,200,https://images.unsplash.com/photo-1560066984-138dadb4c035?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,42,
57,3R Automotive,https://images.unsplash.com/photo-1625047509168-a7026f36de04?auto=format&fit=crop&w=1800&q=80,Category-relevant car_repair image from Unsplash,200,https://images.unsplash.com/photo-1625047509168-a7026f36de04?auto=format&fit=crop&w=1800&q=80,image/jpeg,0,45,
